shape,group,label,method,num_tests,warmup,breather,rep,tflops,clk_min,clk_med,clk_max,n_clk_samples,kernel_ms
32768x16384x32768,E,event+nt1+sleep,event,1,10,sleep,0,6925,2062,2062,2062,5,5.117
32768x16384x32768,E,event+nt1+sleep,event,1,10,sleep,1,6948,2062,2062,2062,5,5.117
32768x16384x32768,E,event+nt1+sleep,event,1,10,sleep,2,6942,2062,2062,2062,5,5.117
8192x32768x32768,A,bench_kineto,bench_kineto,10,0,flush8,0,6859,1852,1852.0,2062,40,2.635
8192x32768x32768,A,bench_kineto,bench_kineto,10,0,flush8,1,7071,1852,1852,2062,39,2.635
8192x32768x32768,A,bench_kineto,bench_kineto,10,0,flush8,2,7105,1800,2062.0,2062,38,2.635
8192x32768x32768,A,event(B),event,10,10,flush8,0,6749,1800,1800.0,1800,18,2.635
8192x32768x32768,A,event(B),event,10,10,flush8,1,6720,1852,1852.0,1852,18,2.635
8192x32768x32768,A,event(B),event,10,10,flush8,2,6600,1740,1740.0,1740,18,2.635
8192x32768x32768,A,graph,graph,10,10,flush8,0,6840,1732,1732.0,1732,18,2.635
8192x32768x32768,A,graph,graph,10,10,flush8,1,6773,1732,1800.0,1800,18,2.635
8192x32768x32768,A,graph,graph,10,10,flush8,2,6732,1785,1800.0,1800,18,2.635
8192x32768x32768,A,event+sync,event_sync,10,10,flush8,0,6723,1785,1785.0,1785,18,2.635
8192x32768x32768,A,event+sync,event_sync,10,10,flush8,1,6555,1702,1702,1702,19,2.635
8192x32768x32768,A,event+sync,event_sync,10,10,flush8,2,6640,1702,1740,1740,19,2.635
8192x32768x32768,B,nt=1,event,1,10,flush8,0,6568,1740,1740.0,1740,2,2.635
8192x32768x32768,B,nt=1,event,1,10,flush8,1,6400,1665,1665.0,1665,2,2.635
8192x32768x32768,B,nt=1,event,1,10,flush8,2,6506,1665,1665.0,1665,2,2.635
8192x32768x32768,B,nt=5,event,5,10,flush8,0,6439,1695,1695,1695,9,2.635
8192x32768x32768,B,nt=5,event,5,10,flush8,1,6523,1695,1695,1695,9,2.635
8192x32768x32768,B,nt=5,event,5,10,flush8,2,6309,1650,1650.0,1650,10,2.635
8192x32768x32768,B,nt=10,event,10,10,flush8,0,6279,1590,1650,1650,19,2.635
8192x32768x32768,B,nt=10,event,10,10,flush8,1,6545,1590,1590,1590,19,2.635
8192x32768x32768,B,nt=10,event,10,10,flush8,2,6618,1680,1680.0,1680,18,2.635
8192x32768x32768,B,nt=30,event,30,10,flush8,0,6514,1642,1710,1710,55,2.635
8192x32768x32768,B,nt=30,event,30,10,flush8,1,6551,1642,1680.0,1680,56,2.635
8192x32768x32768,B,nt=30,event,30,10,flush8,2,6495,1627,1627.0,1642,56,2.635
8192x32768x32768,C,br=none,event,10,10,none,0,6405,1642,1642.0,1642,14,2.635
8192x32768x32768,C,br=none,event,10,10,none,1,5686,1665,1665,1665,15,2.635
8192x32768x32768,C,br=none,event,10,10,none,2,5500,1320,1665.0,1665,16,2.635
8192x32768x32768,C,br=flush8,event,10,10,flush8,0,5906,1275,1320.0,1320,22,2.635
8192x32768x32768,C,br=flush8,event,10,10,flush8,1,6488,1275,1275.0,1275,18,2.635
